date,year,event_name,event_type,location,role,paper_title,paper_authors,notes
2021,2021,Reserve Bank of Australia,Seminar,Sydney Australia,Presenter,,,
2021,2021,Rimini Centre for Economic Analysis Macro-Finance conference,Conference,Italy,Presenter,,,
2021,2021,Risk Management Institute conference,Conference,Singapore,Presenter,,,
2021,2021,INFORMS,Conference,,Presenter,,,
2021,2021,CFP Academic Research Colloquium,Conference,,Presenter,,,
2020-11,2020,Asia Pacific Corporate Finance Online Workshop,Workshop,Virtual,Discussant,Fintech Adoption and Household Risk-Taking,"Claire Yurong Hong, Xiaomeng Lu, Jun Pan",
2020-11,2020,Singapore Scholar Symposium,Conference,Singapore,Discussant,Is Carbon Risk Priced in the Cross-Section of Corporate Bond Returns?,,
2020-01,2020,AEA Poster Session,Conference,USA,Presenter,,,
2020-01,2020,AFA,Conference,USA,Presenter,,,
2020-01,2020,AEA,Conference,USA,Presenter,,,
2020,2020,EFA,Conference,Europe,Presenter,,,
2020,2020,POSM conference,Conference,,Presenter,,,
2020,2020,U Chicago Becker-Friedman Institute - China and ABFER COVID-19 seminar,Seminar,Virtual,Presenter,,,
2020,2020,HKUST,Seminar,Hong Kong,Presenter,,,
2020,2020,SFS Cavalcade Asia Pacific,Conference,Asia,Presenter,,,
2020,2020,Peking University Guanghua Conference,Conference,Beijing China,Presenter,,,
2020,2020,Japanese Economic Association 2020 Spring Meeting,Conference,Japan,Presenter,,,
2020,2020,Junior Virtual Macro Conference (VMACS),Conference,Virtual,Presenter,,,
2020,2020,CUHK,Seminar,Hong Kong,Presenter,,,
2020,2020,Korea University,Seminar,Seoul South Korea,Presenter,,,
2020,2020,Five Star Conference,Conference,,Presenter,,,
2019-01,2019,AEA Poster Session,Conference,USA,Presenter,,,
2019,2019,EFA,Conference,Europe,Presenter,,,
2019,2019,Shanghai Advanced Institute of Finance,Seminar,Shanghai China,Presenter,,,
2019,2019,Renmin University Hanqing,Seminar,Beijing China,Presenter,,,
2019,2019,HKUST,Seminar,Hong Kong,Presenter,,,
2019,2019,Boulder Consumer Financial Decision Making Conference,Conference,Boulder USA,Presenter,,,
2019,2019,POMS Conference,Conference,,Presenter,,,
2019,2019,India School of Business,Seminar,Hyderabad India,Presenter,,,
2019,2019,CUHK,Seminar,Hong Kong,Presenter,,,
2019,2019,Bank of Thailand PIER,Seminar,Bangkok Thailand,Presenter,,,
2019,2019,NIDA University,Seminar,Bangkok Thailand,Presenter,,,
2019,2019,Chula University,Seminar,Bangkok Thailand,Presenter,,,
2019,2019,Econometric Society,Conference,,Presenter,,,
2019,2019,SFS Cavalcade Asia Pacific,Conference,Asia,Presenter,,,
2018-01,2018,AFA,Conference,USA,Presenter,,,
2018,2018,Singapore Scholar Symposium,Conference,Singapore,Presenter,,,
2018,2018,Productivity Research Network,Workshop,,Presenter,,,
2018,2018,CICF,Conference,China,Presenter,,,
2018,2018,SEC Fifth Annual Conference on Financial Market Regulation,Conference,Washington DC USA,Presenter,,,
2018,2018,Young Scholars in Finance,Conference,,Presenter,,,
2018,2018,ANU,Seminar,Canberra Australia,Presenter,,,
2018,2018,HKU,Seminar,Hong Kong,Presenter,,,
2018,2018,UNSW,Seminar,Sydney Australia,Presenter,,,
2018,2018,SFS Cavalcade Asia Pacific,Conference,Asia,Presenter,,,
2017,2017,Singapore Scholars Symposium,Conference,Singapore,Presenter,,,
2017,2017,Carnegie Mellon,Seminar,Pittsburgh USA,Presenter,,,
2017,2017,Wisconsin-Madison,Seminar,Madison USA,Presenter,,,
2017,2017,University of Florida,Seminar,Gainesville USA,Presenter,,,
2017,2017,SEC Division of Economic & Risk Analysis,Seminar,Washington DC USA,Presenter,,,
2017,2017,Thai SEC,Seminar,Bangkok Thailand,Presenter,,,
2017,2017,NUS,Seminar,Singapore,Presenter,,,
2017,2017,NTU,Seminar,Singapore,Presenter,,,
2017,2017,HKU,Seminar,Hong Kong,Presenter,,,
2017,2017,CityUHK,Seminar,Hong Kong,Presenter,,,
2016,2016,Trans-Atlantic Doctoral Conference,Conference,,Presenter,,,
2015,2015,Chicago Booth,Seminar,Chicago USA,Presenter,,,
